# System 
#####
# KRAS 
Ligand,exp_dg,pred_dg,pred_dg_error
Cpd_18,-10.231851577758787,-10.41011905670166,0.1400000005960464
Cpd_19,-10.368276596069336,-10.23011875152588,0.1199999973177909
Cpd_20,-10.504701614379885,-10.34507656097412,0.1500000059604644
Cpd_21,-10.641125679016112,-10.760119438171388,0.1400000005960464
Cpd_22,-10.641125679016112,-10.07011890411377,0.1400000005960464
Cpd_23,-11.186824798583984,-11.50011920928955,0.1400000005960464
Cpd_25,-7.912631988525391,-7.150118827819824,0.1599999964237213
Cpd_28,-8.185481071472168,-8.020118713378906,0.1299999952316284
Cpd_30,-8.458331108093262,-9.650118827819824,0.1500000059604644
Cpd_36,-9.004029273986816,-9.078853607177734,0.1500000059604644
Cpd_38,-9.140454292297363,-8.510119438171387,0.1599999964237213
Cpd_39,-9.140454292297363,-8.400118827819824,0.1500000059604644
Cpd_4,-10.368276596069336,-10.210119247436523,0.1099999994039535
Cpd_40,-9.27687931060791,-10.280118942260742,0.1500000059604644
Cpd_46,-9.549728393554688,-8.690118789672852,0.1599999964237213
Cpd_47,-9.549728393554688,-9.030118942260742,0.1099999994039535
Cpd_48,-9.686153411865234,-8.97011947631836,0.1599999964237213
Cpd_49,-9.686153411865234,-9.07011890411377,0.1500000059604644
Cpd_50,-9.686153411865234,-9.960119247436523,0.1400000005960464
Cpd_51,-9.686153411865234,-9.85011863708496,0.1199999973177909
Cpd_52,-9.686153411865234,-9.990118980407717,0.1500000059604644
Cpd_53,-9.686153411865234,-9.540119171142578,0.1400000005960464
Cpd_54,-9.822577476501465,-10.300119400024414,0.1400000005960464
Cpd_55,-9.822577476501465,-10.460119247436523,0.1299999952316284
Cpd_56,-9.822577476501465,-10.00011920928955,0.1299999952316284
Cpd_58,-9.959002494812012,-10.650118827819824,0.1400000005960464
Cpd_59,-9.959002494812012,-9.540119171142578,0.1299999952316284
Cpd_6,-6.821234703063965,-6.77595329284668,0.1500000059604644
Cpd_60,-10.09542751312256,-10.23011875152588,0.1299999952316284
Cpd_61,-10.09542751312256,-9.940118789672852,0.1599999964237213
Cpd_62,-10.09542751312256,-11.080119132995604,0.1299999952316284
Cpd_63,-10.368276596069336,-10.35011863708496,0.1500000059604644
Cpd_64,-10.368276596069336,-9.740118980407717,0.1599999964237213
Cpd_65,-10.504701614379885,-10.440118789672852,0.1099999994039535
Cpd_66,-10.504701614379885,-10.180119514465332,0.1400000005960464
Cpd_67,-10.504701614379885,-10.880119323730469,0.1299999952316284
Cpd_69,-10.504701614379885,-10.72011947631836,0.1299999952316284
Cpd_7,-8.867605209350586,-9.57011890411377,0.1500000059604644
Cpd_70,-10.641125679016112,-10.16011905670166,0.1199999973177909
Cpd_72,-11.050399780273438,-10.800119400024414,0.1299999952316284
Cpd_9,-9.004029273986816,-8.790119171142578,0.1400000005960464
cpd_11,-9.27687931060791,-9.170119285583496,0.1599999964237213
